79	5	7
66	6	65
67	3	29
95	22	78
81	15	47
46	5	36
78	16	15
73	22	103
83	8	25
69	11	87
95	11	40
77	8	11
38	13	88
28	1	55
85	17	7
11	11	79
103	8	19
59	15	30
15	16	25
52	16	62
88	13	91
103	9	32
21	15	95
0	2	71
61	3	46
20	11	80
61	16	35
73	21	58
15	8	27
25	20	14
50	10	63
56	16	42
77	5	14
11	20	18
16	15	36
81	10	67
75	15	96
78	8	26
12	8	47
81	7	83
32	11	37
52	11	67
74	6	65
52	3	12
56	4	74
98	10	83
85	11	82
94	12	44
7	2	84
49	13	63
73	13	51
2	7	72
63	4	45
3	16	21
98	8	43
97	6	85
42	20	44
46	10	80
44	6	82
27	1	11
55	4	78
10	2	28
92	5	9
99	12	30
70	13	103
40	8	16
4	20	21
7	16	23
81	16	44
52	11	21
82	1	15
100	7	55
67	3	20
98	0	12
75	6	74
22	7	103
80	16	94
53	8	40
50	4	55
18	15	0
84	1	51
70	8	12
102	8	23
29	8	22
91	12	30
43	7	98
82	16	27
44	7	66
86	5	3
15	20	10
64	17	26
24	13	54
12	15	3
73	7	79
1	18	79
27	6	57
40	18	28
55	1	45
56	15	3
103	9	36
46	20	43
26	18	50
90	0	63
64	11	75
10	2	43
49	20	29
49	8	30
96	1	67
99	21	60
93	0	3
78	10	72
10	7	97
98	5	44
81	7	60
60	12	6
82	15	89
7	20	6
8	7	54
7	4	98
4	8	47
84	7	62
19	11	7
25	11	38
19	11	0
36	20	6
56	1	63
43	7	73
18	17	75
97	21	75
19	0	96
12	0	101
32	14	31
88	1	60
41	1	65
39	8	33
79	10	94
57	15	68
73	7	68
89	17	41
70	6	67
78	8	35
98	0	48
63	7	69
89	0	13
74	12	34
77	16	27
1	18	11
99	10	65
18	5	50
72	3	2
75	15	44
61	11	52
87	12	20
96	5	27
43	5	6
32	8	1
29	5	26
70	16	29
33	18	28
69	22	70
39	8	6
1	11	84
79	12	35
19	20	20
11	20	30
3	15	73
12	15	88
31	8	34
26	6	56
62	15	90
89	5	29
92	10	79
80	13	67
25	8	4
77	11	80
33	7	63
47	1	65
94	17	24
4	7	87
45	16	14
70	11	64
